,cnt_attribute,cnt_query,name,nwords
coil innerspring with hr foam support layers.,3,0,coil innerspring with hr foam support layers.,7
coil premium innerspring w hr foam support layers,2,0,coil premium innerspring w hr foam support layers,8
coil premium innerspring with hr foam support,3,0,coil premium innerspring with hr foam support,7
composite,2538,378,composite,1
composite capped wood plastic composite,2,0,composite capped wood plastic composite,5
composite cast polymers,3,0,composite cast polymers,3
composite compression molded fiberglas and resin,10,0,composite compression molded fiberglas and resin,6
composite engineered quartz composite,10,0,composite engineered quartz composite,4
composite natural stone composite,5,0,composite natural stone composite,4
composite plastic,3,0,composite plastic,2
composite plastic wood,3,0,composite plastic wood,3
composite timbers and plastic corner brackets,2,0,composite timbers and plastic corner brackets,6
composite vikrell,1,0,composite vikrell,2
composite wood,3,0,composite wood,2
composite wood timbers and plastic corner brackets,6,0,composite wood timbers and plastic corner brackets,7
composite wood. laminate. metal and glass materials,2,0,composite wood. laminate. metal and glass materials,7
composite wood. pvc plastic. vinyl,1,0,composite wood. pvc plastic. vinyl,5
compression molded fiberglas and resin plastic,4,0,compression molded fiberglas and resin plastic,6
concrete,605,1215,concrete,1
constructed from carb compliant. laminated composite woods,3,0,constructed from carb compliant. laminated composite woods,7
constructed of composite board and highly durable pvc laminate,22,0,constructed of composite board and highly durable pvc laminate,9
constructed of poplar solids. engineered wood and oak veneers,2,0,constructed of poplar solids. engineered wood and oak veneers,9
constructed of solid asian rubberwood,8,0,constructed of solid asian rubberwood,5
copper,553,748,copper,1
copper and plastic,19,0,copper and plastic,3
copper and zinc,11,0,copper and zinc,3
copper nickel,2,0,copper nickel,2
copper piping and accessories.,13,0,copper piping and accessories.,4
copper. fiber. metal. palstic,2,0,copper. fiber. metal. palstic,4
copper. fiber. metal. plastic,3,0,copper. fiber. metal. plastic,4
copper. zinc. plastic,4,0,copper. zinc. plastic,3
cordierite,2,0,cordierite,1
cordierite stone,3,0,cordierite stone,2
cork,1,61,cork,1
coroplast,3,0,coroplast,1
cotton,122,40,cotton,1
cpvc,65,50,cpvc,1
crystal,1,136,crystal,1
crystal finials. metal rods and brackets crystal,4,0,crystal finials. metal rods and brackets crystal,7
dark brown metal tube with microfiber seat,5,0,dark brown metal tube with microfiber seat,7
denim,1,8,denim,1
die cast zinc,3,0,die cast zinc,3
drywall,38,446,drywall,1
durable metal construction,1,0,durable metal construction,3
durable metal. 8-mm clear round beveled tempered glass top,3,0,durable metal. 8-mm clear round beveled tempered glass top,9
dzr brass,1,0,dzr brass,2
enamel,1,154,enamel,1
engineered quartz composite stone,18,0,engineered quartz composite stone,4
engineered wood,6,28,engineered wood,2
engineered wood. hollow core. microfiber. paper. pvc,3,0,engineered wood. hollow core. microfiber. paper. pvc,7
engineered wood. hollow core. paper,6,0,engineered wood. hollow core. paper,5
engineered wood. hollow core. paper. pvc,5,0,engineered wood. hollow core. paper. pvc,6
engineered wood. hollow core. paper. pvc. wood,3,0,engineered wood. hollow core. paper. pvc. wood,7
engineered wood. metal. non woven fabric. paint,2,0,engineered wood. metal. non woven fabric. paint,7
engineered wood. metal. paper,1,0,engineered wood. metal. paper,4
engineered wood. paper,2,0,engineered wood. paper,3
engineereed wood,1,0,engineereed wood,2
epdm rubber,14,0,epdm rubber,2
exellan,7,0,exellan,1
fabric,467,156,fabric,1
fabric 55% polyester. 45% cotton. foam 92% polyurethane foam pad. 8% polyester fiber batting. birch wood,2,0,fabric 55% polyester. 45% cotton. foam 92% polyurethane foam pad. 8% polyester fiber batting. birch wood,16
fabric fabric,4,0,fabric fabric,2
fabric over wire frame,4,0,fabric over wire frame,4
fabric parchment,1,0,fabric parchment,2
fabricated from genuine wood veneer wood particle board,8,0,fabricated from genuine wood veneer wood particle board,8
faux leather,11,10,faux leather,2
faux leather metal,2,0,faux leather metal,3
faux marble paper veneer. metal. fabric,3,0,faux marble paper veneer. metal. fabric,6
faux wood,98,78,faux wood,2
felt,15,17,felt,1
fiber,3,201,fiber,1
fiberboard,164,25,fiberboard,1
fiberglass,1046,402,fiberglass,1
fiberglass and plastic,2,0,fiberglass and plastic,3
fiberglass and pvc,2,0,fiberglass and pvc,3
fiberglass composites fiberglass,1,0,fiberglass composites fiberglass,3
fiberglass fiberglass,4,0,fiberglass fiberglass,2
fiberglass mesh,37,0,fiberglass mesh,2
fiberglass vinyl,4,0,fiberglass vinyl,2
finials resin. poles and supports steel resin,1,0,finials resin. poles and supports steel resin,7
fir,8,82,fir,1
fir wood,1,0,fir wood,2
fir wood and metal,2,0,fir wood and metal,4
fire retardant cellulose pads,2,0,fire retardant cellulose pads,4
fireclay,21,3,fireclay,1
flexible carbon film,7,0,flexible carbon film,3
foam,45,436,foam,1
foam foam rubber,4,0,foam foam rubber,3
foam polyurethane foam,11,0,foam polyurethane foam,3
foil and fiberglass,2,0,foil and fiberglass,3
forged,1,19,forged,1
frame. 100% mahogany. content. abaca normal weaving,1,0,frame. 100% mahogany. content. abaca normal weaving,7
frame. 100% mahogany. content. split kubu normal weaving,1,0,frame. 100% mahogany. content. split kubu normal weaving,8
frame. birchwood. upholstery. 100% linen with stainless steel nail heads,3,0,frame. birchwood. upholstery. 100% linen with stainless steel nail heads,10
frame. birchwood. upholstery. 60% cotton. 40% linen with stainless steel nail heads,1,0,frame. birchwood. upholstery. 60% cotton. 40% linen with stainless steel nail heads,12
frame. birchwood. upholstery. 60% linen. 40% polyester with stainless steel nail heads,1,0,frame. birchwood. upholstery. 60% linen. 40% polyester with stainless steel nail heads,12
frame. birchwood. upholstery. bicast leather with stainless steel nail heads,6,0,frame. birchwood. upholstery. bicast leather with stainless steel nail heads,10
frame. birchwood. upholstery. cotton poly with stainless steel nail heads,3,0,frame. birchwood. upholstery. cotton poly with stainless steel nail heads,10
frame. mango wood. content. croco split,1,0,frame. mango wood. content. croco split,6
frame. mango wood. content. rattan,3,0,frame. mango wood. content. rattan,5
frame. metal. content pvc,1,0,frame. metal. content pvc,4
frame. oak. content. rattan,3,0,frame. oak. content. rattan,4
frame. oak. upholstery. bicast leather with stainless steel nail heads,2,0,frame. oak. upholstery. bicast leather with stainless steel nail heads,10
frame. poplar shelf. top. mdf with wood veneer,1,0,frame. poplar shelf. top. mdf with wood veneer,8
frame. rubber wood and rubberwood veneer. upholstery. 100% polyester,1,0,frame. rubber wood and rubberwood veneer. upholstery. 100% polyester,9
frieze polypropylene,1,0,frieze polypropylene,2
frp,178,38,frp,1
fruitwood frame with faux leather cover,1,0,fruitwood frame with faux leather cover,6
galvanized metal,1,0,galvanized metal,2
galvanized steel,1362,29,galvanized steel,2
galvanized steel hdpe. high density polethylene.,1,0,galvanized steel hdpe. high density polethylene.,6
galvanized steel iron,2,0,galvanized steel iron,3
galvanized steel metal,21,0,galvanized steel metal,3
galvanized steel plastic,3,0,galvanized steel plastic,3
galvanized steel steel,12,0,galvanized steel steel,3
galvinized steel,3,0,galvinized steel,2
gel,4,59,gel,1
gel memory foam,2,0,gel memory foam,3
glass,508,2174,glass,1
glass tubes and supports steel. finials glass,5,0,glass tubes and supports steel. finials glass,7
glass. metal,3,0,glass. metal,2
glass. steel,1,0,glass. steel,2
gold,13,309,gold,1
granite,200,526,granite,1
grapevine,5,0,grapevine,1
grapevine frame,2,0,grapevine frame,2
grapevine over wire frame,2,0,grapevine over wire frame,4
gravel,9,63,gravel,1
grout,3,260,grout,1
hard anodized aluminum,3,0,hard anodized aluminum,3
hard plastic,20,0,hard plastic,2
hardened steel,1,0,hardened steel,2
hardwood,2,291,hardwood,1
hardwood solids and engineered wood,4,0,hardwood solids and engineered wood,5
hardwood solids engineered wood,1,0,hardwood solids engineered 
